Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2024-10-31,31,02:53,EST,S  7,10.0,Fair,CLR,59.0,55.0,,,87%,,,30.24,1023.5,,,,2024-11-03,10,2024
2024-10-31,31,03:53,EST,S  3,10.0,Fair,CLR,60.1,55.9,,,86%,,,30.23,1023.1,,,,2024-11-03,10,2024
2024-10-31,31,05:53,EST,S  7,10.0,Fair,CLR,57.0,54.0,,,90%,,,30.23,1023.1,,,,2024-11-03,10,2024
2024-10-31,31,06:53,EST,S  6,10.0,Fair,CLR,55.9,54.0,,,93%,,,30.24,1023.5,,,,2024-11-03,10,2024
2024-10-31,31,07:53,EST,S  6,10.0,Fair,CLR,55.0,54.0,61.0,55.0,96%,,,30.24,1023.5,,,,2024-11-03,10,2024
2024-10-31,31,08:53,EST,S  7,10.0,Fair,CLR,60.1,55.9,,,86%,,,30.24,1023.5,,,,2024-11-03,10,2024
2024-10-31,31,09:53,EST,Calm,10.0,Fair,CLR,64.0,57.0,,,78%,,,30.24,1023.6,,,,2024-11-03,10,2024
2024-10-31,31,10:53,EST,S  6,10.0,Fair,CLR,71.1,57.9,,,63%,,,30.23,1023.1,,,,2024-11-03,10,2024
2024-10-31,31,11:53,EST,S  10,10.0,Fair,CLR,75.0,57.9,,,55%,,78.0,30.21,1022.5,,,,2024-11-03,10,2024
2024-10-31,31,12:53,EST,S  10,10.0,Fair,CLR,78.1,57.9,,,50%,,79.0,30.18,1021.4,,,,2024-11-03,10,2024
2024-10-31,31,13:53,EST,S  16,10.0,Fair,CLR,79.0,57.0,79.0,55.0,47%,,80.0,30.15,1020.4,,,,2024-11-03,10,2024
2024-10-31,31,14:53,EST,S  17,10.0,Fair,CLR,80.1,57.0,,,45%,,80.0,30.12,1019.4,,,,2024-11-03,10,2024
2024-10-31,31,15:53,EST,S  13  G 23,10.0,Fair,CLR,79.0,55.9,,,45%,,80.0,30.11,1019.0,,,,2024-11-03,10,2024
2024-10-31,31,16:53,EST,S  16  G 23,10.0,Fair,CLR,78.1,55.9,,,47%,,79.0,30.1,1018.6,,,,2024-11-03,10,2024
2024-10-31,31,17:53,EST,S  10  G 22,10.0,Fair,CLR,75.0,57.0,,,54%,,78.0,30.1,1018.8,,,,2024-11-03,10,2024
2024-10-31,31,18:53,EST,S  10  G 21,10.0,Fair,CLR,72.0,55.9,,,57%,,,30.11,1019.1,,,,2024-11-03,10,2024
2024-10-31,31,19:53,EST,S  12,10.0,Fair,CLR,71.1,55.0,80.1,71.1,57%,,,30.11,1019.2,,,,2024-11-03,10,2024
2024-10-31,31,20:53,EST,S  10,10.0,Fair,CLR,69.1,55.0,,,61%,,,30.1,1018.9,,,,2024-11-03,10,2024
2024-10-31,31,21:53,EST,S  8,10.0,Fair,CLR,66.0,55.0,,,68%,,,30.1,1018.6,,,,2024-11-03,10,2024
2024-10-31,31,22:53,EST,S  8,10.0,Fair,CLR,66.0,55.9,,,70%,,,30.09,1018.5,,,,2024-11-03,10,2024
2024-10-31,31,23:53,EST,S  9,10.0,Fair,CLR,68.0,55.0,,,63%,,,30.08,1018.1,,,,2024-11-03,10,2024
2024-11-01,1,00:53,EST,S  13,10.0,Fair,CLR,66.9,55.0,,,66%,,,30.08,1017.9,,,,2024-11-03,11,2024
2024-11-01,1,01:53,EST,S  10,10.0,Fair,CLR,64.9,55.0,71.1,64.9,70%,,,30.07,1017.5,,,,2024-11-03,11,2024
2024-11-01,1,02:53,EST,S  8,10.0,Fair,CLR,63.0,55.0,,,76%,,,30.05,1016.9,,,,2024-11-03,11,2024
2024-11-01,1,03:53,EST,S  9,10.0,Fair,CLR,63.0,55.0,,,76%,,,30.04,1016.6,,,,2024-11-03,11,2024
2024-11-01,1,04:53,EST,S  9,10.0,Fair,CLR,63.0,55.0,,,76%,,,30.04,1016.7,,,,2024-11-03,11,2024
2024-11-01,1,05:53,EST,S  10,10.0,Fair,CLR,63.0,55.0,,,76%,,,30.06,1017.2,,,,2024-11-03,11,2024
2024-11-01,1,06:53,EST,S  10,10.0,Fair,CLR,63.0,55.0,,,76%,,,30.06,1017.3,,,,2024-11-03,11,2024
2024-11-01,1,07:53,EST,SW  6,10.0,A Few Clouds,FEW110,64.0,55.0,64.9,63.0,73%,,,30.07,1017.7,,,,2024-11-03,11,2024
2024-11-01,1,08:53,EST,S  7,10.0,Light Rain,FEW070 OVC110,64.0,55.9,,,75%,,,30.09,1018.5,,,,2024-11-03,11,2024
2024-11-01,1,09:53,EST,S  12,10.0,Mostly Cloudy,BKN110,64.0,57.0,,,78%,,,30.11,1019.1,,,,2024-11-03,11,2024
2024-11-01,1,10:53,EST,SW  6,10.0,A Few Clouds,FEW110,66.0,55.9,,,70%,,,30.12,1019.3,,,,2024-11-03,11,2024
2024-11-01,1,11:53,EST,S  10,10.0,Fair,CLR,71.1,57.9,,,63%,,,30.12,1019.2,,,,2024-11-03,11,2024
2024-11-01,1,12:53,EST,S  9,10.0,Fair,CLR,75.9,57.9,,,54%,,78.0,30.11,1018.9,,,,2024-11-03,11,2024
2024-11-01,1,13:53,EST,Calm,10.0,Overcast,OVC065,77.0,55.0,79.0,63.0,47%,,78.0,30.09,1018.2,,,,2024-11-03,11,2024
2024-11-01,1,14:53,EST,W  7,10.0,Partly Cloudy,FEW070 SCT080,79.0,54.0,,,42%,,79.0,30.08,1017.8,,,,2024-11-03,11,2024
2024-11-01,1,15:53,EST,W  8,10.0,Partly Cloudy,SCT070,79.0,51.1,,,38%,,79.0,30.08,1018.1,,,,2024-11-03,11,2024
2024-11-01,1,16:53,EST,W  6  G 18,10.0,Fair,CLR,77.0,48.9,,,37%,,78.0,30.09,1018.5,,,,2024-11-03,11,2024
2024-11-01,1,17:53,EST,NW  8,10.0,A Few Clouds,FEW060,73.9,48.0,,,40%,,,30.11,1019.2,,,,2024-11-03,11,2024
2024-11-01,1,18:53,EST,W  3,10.0,Fair,CLR,70.0,46.9,,,44%,,,30.14,1020.0,,,,2024-11-03,11,2024
2024-11-01,1,19:53,EST,N  3,10.0,Fair,CLR,66.9,46.9,81.0,66.9,49%,,,30.16,1020.7,,,,2024-11-03,11,2024
2024-11-01,1,20:53,EST,S  5,10.0,Fair,CLR,63.0,46.0,,,54%,,,30.16,1020.8,,,,2024-11-03,11,2024
2024-11-01,1,21:53,EST,Vrbl  3,10.0,Fair,CLR,66.0,45.0,,,47%,,,30.17,1021.2,,,,2024-11-03,11,2024
2024-11-01,1,22:53,EST,W  3,10.0,Fair,CLR,63.0,44.1,,,50%,,,30.19,1021.8,,,,2024-11-03,11,2024
2024-11-01,1,23:53,EST,Calm,10.0,Fair,CLR,55.9,43.0,,,62%,,,30.21,1022.5,,,,2024-11-03,11,2024
